"","id","fsecurity","fexpend","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability","weight"
"1",20180902374300,0,110,1,0,0,0,0,0,1,2,0,0,4369.7466
"2",20180902376700,0,70,2,2,0,2,2,0,2,1,0,0,4484.3448
"3",20180902377600,NA,NA,1,1,0,0,0,0,0,1,0,1,2105.9713
"4",20180902377900,1,40,1,1,0,0,0,0,0,1,0,0,2637.4477
"5",20180902378100,0,20,2,2,0,0,0,0,1,1,0,1,4606.2476
"6",20180902378900,7,20,2,1,0,1,0,0,0,0,0,1,4750.7232
"7",20180902384600,0,37.5,4,1,2,0,0,0,2,2,2,0,8501.7764
"8",20180902388500,NA,NA,2,0,1,0,0,0,1,1,0,0,4086.694
"9",20180902388600,1,40,2,1,0,0,0,0,0,2,2,1,4178.963
"10",20180902389200,0,80,1,1,0,1,0,0,0,0,1,0,1963.0856
"11",20180902390400,0,10,3,3,1,0,0,0,1,3,0,0,6553.7181
"12",20180902390500,NA,NA,1,1,0,1,0,0,0,1,0,0,1925.354
"13",20180902391200,3,76.6666666666667,3,2,0,0,0,0,3,3,0,0,6268.4445
"14",20180902393500,NA,NA,2,1,0,0,0,0,0,2,2,0,4369.1454
"15",20180902393600,0,0,1,0,0,1,1,0,0,0,0,1,2141.0256
"16",20180902394000,1,20,5,2,3,0,0,5,1,1,2,0,9920.8135
"17",20180902394500,0,110,2,1,0,2,0,0,0,0,2,1,4044.8244
"18",20180902394600,0,65,2,1,0,0,0,0,2,2,2,0,3867.656
"19",20180902396300,0,0,2,1,0,2,0,0,0,0,2,0,3850.708
"20",20180902396400,NA,NA,3,2,0,0,0,0,1,2,2,0,5902.4817
"21",20180902398100,0,66.6666666666667,3,1,0,0,0,0,0,3,2,0,5801.484
"22",20180902398300,NA,NA,1,0,0,0,0,0,0,1,0,0,2660.6975
"23",20180902400900,0,80,2,1,0,2,0,0,0,2,2,0,3850.708
"24",20180902401600,NA,NA,2,1,0,2,0,0,2,0,2,1,4044.8244
"25",20180902401700,0,80,1,0,0,0,0,0,0,1,0,0,2422.3677
"26",20180902403800,0,80,1,1,0,1,0,0,0,1,0,1,1963.0856
"27",20180902405800,NA,NA,1,1,0,0,0,0,1,1,0,0,2428.347
"28",20180902407100,NA,NA,1,1,0,0,0,0,0,1,0,0,2466.6057
